tract,Name,Household_Income_at_Age_35_rB_gF_p25
6073018514,"Ivey Ranch / Rancho Del Oro, Oceanside, CA",51084
51177020204,"Fredericksburg, VA",51047
36047074600,"Kings County, NY",51043
36081014400,"Queens County, NY",51005
51059430600,"Springfield, VA",50900
6037572001,"Bixby Knolls, Long Beach, CA",50875
34023001804,"Edison, NJ",50854
6077005208,"Tracy, CA",50835
9003520301,"Glastonbury, CT",50824
36081016600,"Queens County, NY",50808
48439111310,"Southeast Arlington, Arlington, TX",50738
6067009619,"Elk Grove, CA",50717
31153010206,"Bellevue, NE",50657
24003740203,"Severn, MD",50525
6001432300,"Farrelly Pond District, San Leandro, CA",50491
12095016728,"Orlando, FL",50476
4013109102,"Alhambra, Phoenix, AZ",50460
51059422302,"Alexandria, VA",50434
48029161400,"Southside, San Antonio, TX",50396
48439111513,"Arlington, TX",50354
6059075701,"Tustin, CA",50281
51059431001,"Burke, VA",50248
24033806800,"Berwyn Heights, MD",50152
29047021208,"Barry Harbour, Kansas City, MO",50138
36027070301,"Hyde Park, NY",50121
24031703206,"Silver Spring, MD",50104
10003011204,"Wilmington, DE",50101
6111004400,"Port Hueneme, CA",50099
18089042300,"Merrillville, IN",50044
9003511400,"East Hartford, CT",50014
34005701102,"Burlington, NJ",49923
51085320803,"Mechanicsville, VA",49914
34003047400,"Ridgewood, NJ",49894
6081601000,"Westlake, Daly City, CA",49869
12011090700,"Driftwood, Hollywood, FL",49740
24031703502,"Kensington, MD",49729
20103071101,"Lansing, KS",49708
51510200407,"Landmark, Alexandria, VA",49688
47149040102,"La Vergne, TN",49656
6073010001,"Otay Mesa West, San Diego, CA",49656
24021750803,"Fredericktowne Village, Frederick, MD",49540
51153901235,"Lake Ridge, VA",49521
25017339300,"West Medford, Medford, MA",49485
6071000115,"Chino Hills, CA",49466
40109108218,"Northwest Oklahoma City, Edmond, OK",49400
6001440333,"Union City, CA",49347
12015020202,"Port Charlotte, FL",49330
25025160501,"Chelsea, MA",49295
24003731311,"Green Haven, Pasadena, MD",49262
6037127910,"Van Nuys, Los Angeles, CA",49205
24033801307,"Fort Washington, MD",49176
6085503709,"Alum Rock, San Jose, CA",49113
34021004403,"Hightstown, NJ",49039
51683910201,"Manassas, VA",49032
12086010198,"Miami, FL",48997
17043841204,"Glendale Heights, IL",48975
42091201607,"Abington, PA",48957
12021010508,"Naples, FL",48949
13135050527,"Lawrenceville, GA",48935
51600300300,"Fairfax, VA",48921
36119004800,"Tuckahoe, NY",48839
51700032114,"Central Newport News, Newport News, VA",48835
36119004300,"North Side, Mount Vernon, NY",48827
48029121606,"Northeast Side, San Antonio, TX",48735
12117021317,"Oviedo, FL",48727
24031703100,"Silver Spring, MD",48691
24031702301,"Silver Spring, MD",48685
9001080100,"Stratford, CT",48684
6037403321,"Westmont, Diamond Bar, CA",48609
51059491201,"Centreville, VA",48578
39049007044,"Worthington Highlands, Westerville, OH",48544
36081054800,"Queens County, NY",48485
48201250702,"Kingwood Glen, Humble, TX",48475
6037216800,"Central LA, Los Angeles, CA",48464
48439113518,"Euless, TX",48438
53033025200,"Renton, WA",48382
48135003100,"Odessa, TX",48372
6071011800,"Barstow, CA",48349
48439113918,"Summerfields, Fort Worth, TX",48346
25013801101,"Metro Center, Springfield, MA",48305
36071013201,"Washingtonville, NY",48278
8041007700,"Northeast Colorado Springs, Colorado Springs, CO",48255
24031700810,"Gaithersburg, MD",48187
34003037202,"New Milford, NJ",48128
36119009100,"White Plains, NY",48045
24031703212,"Silver Spring, MD",48004
51153900408,"Dale City, VA",47988
12015020501,"Port Charlotte, FL",47956
24031702200,"Silver Spring, MD",47954
36061025300,"Upper Manhattan, New York, NY",47911
13135050714,"Lilburn, GA",47904
5119003703,"Sherwood, AR",47879
24017850710,"Waldorf, MD",47872
6037227020,"South Los Angeles, Los Angeles, CA",47870
24033807305,"Adelphi, MD",47837
34003023402,"Hackensack, NJ",47834
24005404102,"Owings Mills, MD",47823
42101032500,"Northeast Philadelphia, Philadelphia, PA",47810
51059461700,"Fairfax, VA",47777
36081125700,"Queens County, NY",47734
48113015401,"Grand Prairie, TX",47731
36047099000,"Kings County, NY",47725
12095017806,"Apopka, FL",47711
6059110014,"Los Alamitos, CA",47667
12086019600,"Miami, FL",47659
24031701001,"Rockville, MD",47637
36081010000,"Queens County, NY",47621
51059421102,"Alexandria, VA",47566
25023511701,"Brockton, MA",47560
9001021900,"Cove - East Side - Shippan, Stamford, CT",47501
4013092713,"Glendale, AZ",47469
6037601402,"Inglewood, CA",47435
36027300000,"Wappingers Falls, NY",47384
39035184105,"Solon, OH",47377
48201554102,"Spring, TX",47345
36081017200,"Queens County, NY",47338
48439111530,"Southwest Arlington, Arlington, TX",47294
6071002021,"Rancho Cucamonga, CA",47291
36103112213,"Dix Hills, NY",47278
12011110326,"SilverLakes, Pembroke Pines, FL",47277
34023008602,"Princeton Meadows, NJ",47269
13067030230,"Kennesaw, GA",47259
36027221001,"Poughkeepsie, NY",47233
34007603400,"Barclay-Kingston, Cherry Hill, NJ",47220
51179010103,"Stafford, VA",47171
24017851200,"Newburg, MD",47163
26049010813,"Flint, MI",47149
42043022604,"Harrisburg, PA",47131
25017351404,"East Somerville, Somerville, MA",47126
34035053105,"Somerset, Franklin Township, NJ",47042
39049000600,"Old North Columbus, Columbus, OH",47023
12091020900,"Niceville, FL",47007
36081055200,"Queens County, NY",46989
6073008358,"Mira Mesa, San Diego, CA",46934
48491020506,"Round Rock, TX",46921
26125166600,"Farmington Hills, MI",46912
31153010305,"Bellevue, NE",46906
34029717101,"Jackson, NJ",46898
13067030223,"Kennesaw, GA",46891
34023009000,"Avenel, Woodbridge Township, NJ",46887
48201555502,"Tomball, TX",46876
6081602700,"Westview, Pacifica, CA",46862
51069051000,"Winchester, VA",46860
25017351403,"East Somerville, Somerville, MA",46857
24033803523,"Bowie, MD",46850
48451001708,"San Angelo, TX",46843
48141003403,"Cielo Vista South, El Paso, TX",46826
24005490900,"Towson, MD",46793
6071000117,"Chino Hills, CA",46773
12086020100,"Miami, FL",46757
48167721201,"South Shore Harbour, League City, TX",46750
34039034900,"Linden, NJ",46750
24031703216,"Silver Spring, MD",46705
12095017107,"Orlando, FL",46667
48201350601,"Heritage Park, Friendswood, TX",46659
12011110321,"Miramar, FL",46634
24033805802,"Hyattsville, MD",46622
51059491402,"Centreville, VA",46615
13067030314,"Marietta, GA",46599
12011110341,"Pembroke Pines, FL",46597
34027046105,"Budd Lake, Mount Olive Township, NJ",46596
24031700713,"Montgomery Village, MD",46567
42101025800,"North Philadelphia, Philadelphia, PA",46523
6073009301,"Serra Mesa, San Diego, CA",46520
48029172003,"Villages of Westcreek, San Antonio, TX",46518
36081134700,"Queens County, NY",46486
6037297601,"San Pedro, Los Angeles, CA",46450
20091052908,"Devonshire, Olathe, KS",46428
36081048000,"Queens County, NY",46424
6071001311,"Rancho Cucamonga, CA",46391
26163587000,"Belleville, MI",46384
42091202202,"Montgomery County, PA",46358
24033805904,"Hyattsville, MD",46342
6067009617,"Elk Grove, CA",46329
6073008510,"Clairemont, San Diego, CA",46318
36027190204,"Wappingers Falls, NY",46292
12099001915,"Villages of Palm Beach Lakes, West Palm Beach, FL",46266
36119005902,"New Rochelle, NY",46232
39035185201,"South Euclid, OH",46221
24033800519,"Bowie, MD",46211
36047099600,"Kings County, NY",46189
40109108215,"Edmond, OK",46162
36081021400,"Queens County, NY",46137
36081048200,"Queens County, NY",46060
12011060118,"Sunrise, FL",46044
51059430901,"West Springfield, VA",46021
21227011300,"Bowling Green, KY",46015
12011060605,"Plantation, FL",46011
37183054207,"North Raleigh, Raleigh, NC",46011
12105011833,"Lakeland, FL",45955
42091202500,"Montgomery County, PA",45938
24045010102,"Salisbury, MD",45917
26125160500,"Southfield, MI",45917
51550021005,"Great Bridge, Chesapeake, VA",45900
12086009806,"North Miami Beach, FL",45879
48121021638,"Far North Dallas, Dallas, TX",45861
36081011000,"Queens County, NY",45848
12001002204,"Gainesville, FL",45842
36005041500,"Bronx County, NY",45785
6085502604,"Campbell, CA",45782
42091201204,"Penllyn, PA",45758
24025302801,"Aberdeen, MD",45748
36081016800,"Queens County, NY",45739
36061017300,"Upper West Side, New York, NY",45737
36047118400,"Kings County, NY",45736
48029171921,"Far West Side, San Antonio, TX",45728
12015020103,"Punta Gorda, FL",45704
42045403300,"Clifton Heights, PA",45704
24033806706,"Greenbelt, MD",45686
48113019042,"Garland, TX",45684
25017341800,"Malden, MA",45678
6073010110,"Nestor, San Diego, CA",45664
51041100929,"Midlothian, VA",45574
51059490103,"Chantilly, VA",45564
48201343200,"La Porte, TX",45545
34023001600,"Edison, NJ",45522
40031002001,"Lawton, OK",45499
36081040700,"Queens County, NY",45497
22033003801,"Mid City South, Baton Rouge, LA",45483
48085031611,"Westgate, Plano, TX",45463
34039032500,"Hillside, NJ",45461
24031701505,"Silver Spring, MD",45458
51087200305,"Henrico, VA",45458
6073013414,"Rancho\Del Rey III, Chula Vista, CA",45443
48157674300,"Heritage Colony, Missouri City, TX",45416
37063002028,"Durham, NC",45405
13067030311,"Marietta, GA",45379
12011020104,"Coconut Creek, FL",45377
36059405200,"Elmont, NY",45355
48201454700,"Nottingham Country, Katy, TX",45349
24005492402,"Owings Mills, MD",45330
24031700306,"Germantown, MD",45288
35009000201,"Clovis, NM",45278
25025140201,"Hyde Park, Boston, MA",45275
34023007912,"Old Bridge, Old Bridge Township, NJ",45228
13113140501,"Fayetteville, GA",45219
1125010204,"Northport, AL",45218
53033027100,"Highline, Seattle, WA",45175
48309003706,"Hewitt, TX",45158
51013103300,"Arlington Views, Arlington, VA",45152
45045003014,"Simpsonville, SC",45149
12011061002,"Plantation, FL",45148
45063021110,"Columbia, SC",45142
48201553001,"Oak Creek Village, Houston, TX",45136
6067009618,"Elk Grove, CA",45118
6065040405,"Pedley, Riverside, CA",45072
11001003900,"Lanier Heights, Washington, DC",45050
36055014400,"Rochester, NY",45044
36027140400,"Poughkeepsie, NY",45033
13153021103,"Stratford Hills, Bonaire, GA",45017
12011010402,"Deerfield Beach, FL",45007
48029121810,"Uptown, San Antonio, TX",44999
36119003900,"North Side, Mount Vernon, NY",44988
36085030301,"Richmond County, NY",44986
25017351000,"Spring Hill, Somerville, MA",44973
34003054600,"Teaneck, NJ",44960
13121011506,"Brookfield Country Club, Roswell, GA",44953
36005028900,"Bronx County, NY",44904
21111011514,"Highview, Louisville, KY",44901
53035091203,"Silverdale, WA",44900
44007010300,"East Providence, RI",44889
48157670901,"Lake Shore Harbour, Missouri City, TX",44879
44007011100,"Central Falls, RI",44866
36081040100,"Queens County, NY",44863
48141010303,"Pebble Hills Park, El Paso, TX",44857
47165021204,"Hendersonville, TN",44857
34003054300,"Teaneck, NJ",44837
12086017600,"Miami, FL",44799
11001001600,"Northwest Washington, Washington, DC",44799
25017351204,"Ward Two, Somerville, MA",44797
48201340500,"Clear Lake, Houston, TX",44769
1129044000,"Chatom, AL",44751
37081017200,"Whitsett, NC",44746
12117021403,"Winter Springs, FL",44739
6037571400,"Lakewood Mutual, Lakewood, CA",44711
48121021516,"The Colony, TX",44709
48029171915,"Far West Side, San Antonio, TX",44658
48141010307,"Pico Norte, El Paso, TX",44642
12011060504,"Plantation, FL",44628
42003510000,"East Pittsburgh, PA",44628
24031704000,"Forest Glen, Silver Spring, MD",44626
20177003700,"Topeka, KS",44616
25017339600,"South Medford, Medford, MA",44610
34039038700,"Fanwood, NJ",44594
48439121609,"West Arlington, Arlington, TX",44576
11001004201,"Northwest Washington, Washington, DC",44533
48439111533,"Southwest Arlington, Arlington, TX",44526
24025301204,"Abingdon, MD",44507
36081015400,"Queens County, NY",44506
36005035600,"Bronx County, NY",44501
34023008001,"Laurence Harbor, South Amboy, NJ",44479
39049001300,"University, Columbus, OH",44478
13067030229,"Kennesaw, GA",44463
24033800106,"Laurel, MD",44461
12011020319,"Coral Springs, FL",44426
24031701304,"Olney, MD",44375
25017368800,"Bleachery, Waltham, MA",44314
48201340800,"Clear Lake, Houston, TX",44310
24031703201,"Rockville, MD",44307
24031703403,"Silver Spring, MD",44291
31153010501,"Omaha, NE",44283
36047065000,"Kings County, NY",44281
39035172103,"Cleveland, OH",44261
37119005831,"Touchstone Village, Charlotte, NC",44254
12095016602,"Orlando, FL",44240
6095252912,"Vacaville, CA",44236
6037571200,"Lakewood Village, Long Beach, CA",44235
26145011800,"Saginaw, MI",44210
48201350300,"Southbelt/ Ellington, Houston, TX",44188
40143007414,"Broken Arrow, OK",44178
24027605502,"Harper's Choice, Columbia, MD",44177
36081010600,"Queens County, NY",44146
24031700304,"Germantown, MD",44141
24031701701,"Takoma Park, MD",44124
25025110401,"Roslindale, Boston, MA",44081
12117020811,"Lake Mary, FL",44080
6085504601,"Mountain View, CA",44070
24033805202,"Takoma Park, MD",44050
6073002601,"City Heights, San Diego, CA",44040
20177002601,"West Southwest 3, Topeka, KS",44026
22033004010,"South Baton Rouge, Baton Rouge, LA",44013
9003510900,"East Hartford, CT",44008
51550021200,"Pleasant Grove West, Chesapeake, VA",44002
26125167800,"Farmington Hills, MI",43987
17031818401,"Hillside, IL",43972
8041000202,"Northeast Colorado Springs, Colorado Springs, CO",43960
36081014202,"Queens County, NY",43942
12057012301,"Limona Improvement, Brandon, FL",43922
11001007301,"Southwest Washington, Washington, DC",43920
34023008405,"Kendall Park, South Brunswick Township, NJ",43916
51059491601,"Chantilly, VA",43903
13113140206,"Peachtree City, GA",43896
24033800410,"Bowie, MD",43873
48231961300,"Greenville, TX",43869
36005043600,"Bronx County, NY",43851
25025110502,"Roslindale, Boston, MA",43841
51810046225,"Virginia Beach, VA",43838
51059432800,"Springfield, VA",43803
26163568700,"Westland, MI",43795
1097003405,"Overlook, Mobile, AL",43783
51059420700,"Alexandria, VA",43759
51145500102,"Powhatan, VA",43749
40109107604,"Midwest City, OK",43742
37063002020,"Durham, NC",43730
24031701409,"Burtonsville, MD",43676
32003006103,"Las Vegas, NV",43673
36081049600,"Queens County, NY",43629
6041112201,"San Rafael, CA",43606
24033800409,"Bowie, MD",43606
4019002506,"Midvale Park, Tucson, AZ",43588
34023002703,"Avenel, Woodbridge Township, NJ",43587
24031701316,"Sandy Spring, Ashton-Sandy Spring, MD",43583
48201451500,"Westside, Houston, TX",43570
36005022800,"Bronx County, NY",43569
45063021106,"Columbia, SC",43560
12095015105,"Orlando, FL",43559
24005411408,"Nottingham, MD",43555
12011060207,"Sunrise, FL",43554
12069031310,"Clermont, FL",43549
17095000400,"Galesburg, IL",43512
48491021505,"Round Rock, TX",43484
48113018123,"Garland, TX",43472
34017001400,"The Heights, Jersey City, NJ",43470
48113019031,"Garland, TX",43460
51153901230,"Dale City, VA",43450
34005701502,"Trenton, NJ",43446
6081602600,"Westborough, South San Francisco, CA",43442
22079013200,"Deville, LA",43434
36081061800,"Queens County, NY",43433
12015020101,"Punta Gorda, FL",43428
24033804101,"Cheverly, MD",43399
51810045426,"Virginia Beach, VA",43397
24510250103,"Violetville, Baltimore, MD",43394
51003010300,"Forest Lakes, Charlottesville, VA",43386
6095250104,"Vallejo, CA",43369
39017010910,"Fairfield, OH",43363
51059420201,"Alexandria, VA",43358
6037901101,"Quartz Hill, CA",43357
51127700200,"Quinton, VA",43349
12011060120,"Sunrise, FL",43348
48201340700,"Clear Lake, Houston, TX",43347
6095252910,"Vacaville, CA",43343
6073018516,"Mira Costa, Oceanside, CA",43334
36081085500,"Queens County, NY",43329
37135011800,"Chapel Hill, NC",43328
51153901227,"Woodbridge, VA",43318
6065042014,"Orangecrest, Riverside, CA",43299
39061022400,"Cincinnati, OH",43278
36081083800,"Queens County, NY",43271
12057011413,"Citrus Park Community, Tampa, FL",43269
12073000904,"Tallahassee, FL",43257
33011010800,"Nashua, NH",43208
48309003701,"Robinson, TX",43202
51059450602,"Falls Church, VA",43171
9009351500,"Waterbury, CT",43152
34013016900,"Montclair, NJ",43141
4003001501,"Sierra Vista, AZ",43131
6085504421,"Milpitas, CA",43129
6073008509,"Clairemont, San Diego, CA",43079
36081046200,"Queens County, NY",43069
34039032700,"Union, NJ",43064
51059420502,"Alexandria, VA",43061
51013103200,"Columbia Heights, Arlington, VA",43047
8031007037,"East, Denver, CO",43045
48201341301,"Clear Lake, Houston, TX",43012
36055013101,"Rochester, NY",43005
24003740500,"Laurel, MD",42985
34021004407,"East Windsor, NJ",42919
51059452400,"Springfield, VA",42884
6073003901,"Logan Heights, San Diego, CA",42882
24031701509,"Silver Spring, MD",42874
36047098800,"Kings County, NY",42873
51143011100,"Danville, VA",42821
39017011126,"Butler County, OH",42816
12011060125,"Lauderhill, FL",42815
51107611502,"Sterling, VA",42794
6067004012,"Southwestern Sacramento, Sacramento, CA",42788
24027601107,"Waterloo, Elkridge, MD",42762
6067007601,"Carmichael, CA",42759
12091021501,"Shalimar, FL",42756
36087010701,"Haverstraw, NY",42740
51153900904,"Dumfries, VA",42738
24027605601,"Hickory Ridge, Columbia, MD",42733
24031700812,"Gaithersburg, MD",42721
32003003246,"Las Vegas, NV",42719
9009351300,"Waterbury, CT",42670
24033805801,"Adelphi, MD",42667
28089030301,"Madison, MS",42658
10003016601,"Middletown, DE",42581
36071012601,"New Windsor, NY",42577
24043011201,"Hagerstown, MD",42573
6037403304,"Valle Lindo, Diamond Bar, CA",42551
51059420300,"Alexandria, VA",42547
12086008209,"Palmetto Bay, FL",42546
48201540200,"Northwest Houston, Houston, TX",42545
51177020311,"Spotsylvania Courthouse, VA",42520
51059492300,"Springfield, VA",42509
24033800520,"Bowie, MD",42497
34005704013,"Cambridge Park, Evesham Township, NJ",42487
36081116300,"Queens County, NY",42482
10003014702,"Newark, DE",42462
48439113808,"Watauga, TX",42450
6085503211,"South San Jose, San Jose, CA",42448
36081060800,"Queens County, NY",42437
39061020504,"Cincinnati, OH",42428
25027732400,"Oak Hill, Worcester, MA",42419
12117020805,"Lake Mary, FL",42415
42041012400,"Carlisle, PA",42394
6073017030,"4S Ranch, San Diego, CA",42380
36047003500,"Kings County, NY",42365
36103145804,"Islandia, NY",42363
36047067200,"Kings County, NY",42352
48187210709,"Northeast Side, Schertz, TX",42348
25025100800,"Dorchester, Boston, MA",42329
24031701201,"Rockville, MD",42322
51059491702,"Fairfax, VA",42296
13113140404,"Fayetteville, GA",42280
36087012401,"Monsey, NY",42279
51153900202,"Woodbridge, VA",42270
11001006700,"Southeast Washington, Washington, DC",42270
51153901225,"Woodbridge, VA",42270
24033800707,"Greater Upper Marlboro, Upper Marlboro, MD",42236
22089062301,"Destrehan, LA",42232
48113017808,"Palos Verdes, Mesquite, TX",42222
9003473602,"Windsor, CT",42222
26021021400,"Oronoko charter Township, Berrien Springs, MI",42216
36081010200,"Queens County, NY",42210
36059404901,"Elmont, NY",42201
24031701602,"Silver Spring, MD",42190
27003051501,"Columbia Heights, MN",42188
45019000600,"Charleston, SC",42186
10003014904,"Bear, DE",42182
17031560300,"South Side, Chicago, IL",42180
24033800517,"Upper Marlboro, MD",42170
42011001700,"Reading, PA",42152
29189215004,"St. Louis, MO",42149
12057013414,"Bloomingdale, Valrico, FL",42136
51650011100,"Fort Monroe, Hampton, VA",42131
36047101000,"Kings County, NY",42117
48113016412,"Grand Prairie, TX",42103
51550020804,"Greenbrier East, Chesapeake, VA",42098
34023000603,"Piscataway Township, NJ",42098
10003010800,"Wilmington, DE",42088
39035183501,"Shaker Heights, OH",42086
26077001802,"Milwood, Kalamazoo, MI",42062
6077003215,"Bear Creek, Stockton, CA",42058
12086009704,"Miami, FL",42035
34021003202,"Lawrence Township, NJ",42028
34035053705,"Somerset County, NJ",42003
36005044800,"Bronx County, NY",42000
13179010102,"Fort Stewart, GA",41988
48085031655,"Preston Ridge, Plano, TX",41973
12011010612,"Windham, Coral Springs, FL",41970
24021752301,"Frederick, MD",41964
34015501105,"Deptford Township, NJ",41943
27123042202,"Saint Paul, MN",41939
36081015000,"Queens County, NY",41927
51550021301,"Chesapeake, VA",41916
24033803700,"Hyattsville, MD",41889
36059414501,"Freeport, NY",41887
42045401502,"Clifton Heights, PA",41886
13067030408,"Marietta, GA",41879
6073016502,"El Cajon, CA",41876
36059407402,"Uniondale, NY",41874
36119010803,"Hartsdale, NY",41867
24031703800,"Silver Spring, MD",41859
34003054500,"Teaneck, NJ",41843
36061025500,"Upper Manhattan, New York, NY",41834
6037403318,"Westmont, Pomona, CA",41827
48201541202,"Copperfield Southcreek Village, Houston, TX",41824
12097042400,"Kissimmee, FL",41820
12011010605,"Pompano Beach, FL",41807
36103158309,"Coram, NY",41802
42003492700,"Clairton, PA",41798
12011110322,"Miramar, FL",41795
6073008359,"Mira Mesa, San Diego, CA",41785
36071010102,"Newburgh, NY",41774
24005402509,"Owings Mills, MD",41774
4013092309,"Glendale, AZ",41772
8031006810,"Southeast, Denver, CO",41772
12035060205,"Palm Coast, FL",41764
51690000500,"Martinsville, VA",41752
25017310300,"Centralville, Lowell, MA",41751
48201552103,"Bonaire, Houston, TX",41746
10003014809,"Bear, DE",41732
47149040903,"Murfreesboro, TN",41724
48141010211,"North Hills West, El Paso, TX",41722
13113140408,"Fayetteville, GA",41719
39113100302,"Dayton, OH",41717
6065040814,"Corona, CA",41708
17031080300,"Old Town, Chicago, IL",41700
24033801005,"Cheltenham, MD",41700
6037135113,"Woodland Hills, Los Angeles, CA",41697
51059452301,"Annandale, VA",41689
6065042010,"Perris, CA",41689
34021003706,"Ewing Township, NJ",41681
